Frequency (Hz)	Level (dB)
11875.561523	-51.037086
11886.328125	-53.369198
11897.094727	-56.006153
11907.861328	-52.547039
11918.627930	-55.893375
11929.394531	-62.103626
11940.161133	-56.117153
11950.927734	-56.334076
11961.694336	-56.366100
11972.460938	-58.547356
11983.227539	-69.362793
11993.994141	-65.219345
12004.760742	-66.936279
12015.527344	-64.512733
12026.293945	-54.612545
12037.060547	-52.182613
12047.827148	-52.397934
12058.593750	-53.371754
12069.360352	-52.952236
12080.126953	-57.563400
12090.893555	-63.097740
12101.660156	-55.147747
12112.426758	-54.059353
12123.193359	-57.266354
12133.959961	-63.088966
12144.726562	-71.007584
12155.493164	-59.228664
12166.259766	-58.650658
12177.026367	-59.623039
12187.792969	-63.653160
12198.559570	-73.390434
12209.326172	-63.882385
12220.092773	-58.385105
12230.859375	-57.177296
12241.625977	-57.870770
12252.392578	-60.914799
12263.159180	-60.872498
12273.925781	-61.068874
12284.692383	-60.815258
12295.458984	-61.704342
12306.225586	-58.810181
12316.992188	-58.341255
12327.758789	-61.170063
12338.525391	-60.670105
12349.291992	-61.030807
12360.058594	-58.382275
12370.825195	-55.954079
12381.591797	-57.458843
12392.358398	-62.145794
12403.125000	-69.158775
12413.891602	-60.061935
12424.658203	-53.371933
12435.424805	-55.137955
12446.191406	-61.145756
12456.958008	-63.357944
12467.724609	-66.747330
12478.491211	-63.529099
12489.257812	-63.135231
12500.024414	-64.011230
12510.791016	-59.569878
